v,k,t,size,low_bd,schoenheim,gap,gap_schoenheim,"C(v,t)","C(k,t)",last_improvement,years_stale,n_improvements,eligible,sweet
83,18,3,160,134,134,26,26,91881,816,2011-10-10,14.4,9,1,0
73,15,3,176,151,151,25,25,62196,455,2011-10-11,14.4,8,1,0
70,17,3,116,91,91,25,25,54740,680,2011-10-10,14.4,10,1,0
71,17,3,122,97,92,25,30,57155,680,2011-10-10,14.4,10,1,0
72,15,3,173,149,149,24,24,59640,455,2011-10-11,14.4,5,1,0
71,16,3,144,120,107,24,37,57155,560,2011-10-10,14.4,7,1,0
73,17,3,132,108,99,24,33,62196,680,2011-10-10,14.4,9,1,0
79,18,3,143,119,101,24,42,79079,816,2011-10-10,14.4,6,1,0
79,19,3,116,92,92,24,24,79079,969,2011-10-11,14.4,5,1,0
80,16,3,188,165,160,23,28,82160,560,2011-10-10,14.4,5,1,0
72,17,3,125,102,98,23,27,59640,680,2011-10-10,14.4,9,1,0
81,16,3,195,173,162,22,33,85320,560,2011-10-10,14.4,9,1,0
74,17,3,136,114,101,22,35,64824,680,2011-10-10,14.4,8,1,0
84,18,3,161,140,140,21,21,95284,816,2011-10-10,14.4,10,1,0
74,15,3,178,158,158,20,20,64824,455,2011-10-11,14.4,7,1,0
65,16,3,109,90,90,19,19,43680,560,2011-10-10,14.4,6,1,0
90,19,3,162,143,143,19,19,117480,969,2011-10-11,14.4,13,1,0
91,19,3,163,144,144,19,19,121485,969,2011-10-11,14.4,12,1,0
96,20,3,163,144,144,19,19,142880,1140,2011-10-11,14.4,8,1,0
66,16,3,112,95,91,17,21,45760,560,2011-10-10,14.4,5,1,0
70,16,3,136,119,101,17,35,54740,560,2011-10-10,14.4,5,1,0
76,23,3,65,48,47,17,18,70300,1771,2011-10-19,14.4,9,1,0
93,19,3,168,152,152,16,16,129766,969,2011-10-11,14.4,8,1,0
77,23,3,67,51,47,16,20,73150,1771,2011-10-19,14.4,9,1,0
75,15,3,180,165,160,15,20,67525,455,2011-10-11,14.4,4,1,0
67,16,3,115,101,93,14,22,47905,560,2011-10-10,14.4,3,1,0
97,20,3,164,151,151,13,13,147440,1140,2011-10-11,14.4,7,1,0
72,18,3,96,84,84,12,12,59640,816,2011-10-10,14.4,2,1,0
74,18,3,103,91,91,12,12,64824,816,2011-10-10,14.4,4,1,0
92,19,3,163,151,151,12,12,125580,969,2011-10-11,14.4,9,1,0
99,20,3,166,154,154,12,12,156849,1140,2011-10-11,14.4,7,1,0
66,21,3,54,43,41,11,13,45760,1330,2011-10-19,14.4,7,1,0
68,17,3,94,84,84,10,10,50116,680,2011-10-10,14.4,7,1,0
73,18,3,100,90,90,10,10,62196,816,2011-10-10,14.4,5,1,0
65,21,3,51,42,41,9,10,43680,1330,2011-10-19,14.4,8,1,0
64,17,3,84,76,76,8,8,41664,680,2011-10-11,14.4,4,1,0
61,16,3,84,77,77,7,7,35990,560,2011-10-20,14.4,4,1,0
65,17,3,84,77,77,7,7,43680,680,2011-10-11,14.4,4,1,0
66,17,3,89,82,82,7,7,45760,680,2011-10-10,14.4,8,1,0
67,17,3,90,83,83,7,7,47905,680,2011-10-10,14.4,9,1,0
73,24,3,46,40,40,6,6,62196,2024,2011-10-19,14.4,5,1,0
69,17,3,95,90,90,5,5,52394,680,2011-10-10,14.4,6,1,0
74,24,3,47,42,41,5,6,64824,2024,2011-10-19,14.4,4,1,0
75,24,3,48,43,41,5,7,67525,2024,2011-10-19,14.4,6,1,0
69,23,3,43,39,39,4,4,52394,1771,2011-10-19,14.4,6,1,0
71,23,3,46,42,41,4,5,57155,1771,2011-10-19,14.4,5,1,0
66,19,2,17,15,14,2,3,2145,171,2011-09-28,14.4,4,1,0
68,19,2,18,16,15,2,3,2278,171,2011-09-28,14.4,3,1,0
62,16,3,84,82,82,2,2,37820,560,2011-10-19,14.4,3,1,0
67,19,2,17,16,15,1,2,2211,171,2011-09-28,14.4,3,1,0
69,19,2,18,17,15,1,3,2346,171,2011-09-28,14.4,3,1,0
63,16,3,84,83,83,1,1,39711,560,2011-10-11,14.4,5,1,0
96,13,3,738,547,532,191,206,142880,286,2011-11-13,14.3,26,1,0
75,12,3,447,338,338,109,109,67525,220,2011-11-13,14.3,10,1,0
97,14,3,542,437,416,105,126,147440,364,2011-11-13,14.3,10,1,0
90,16,3,321,237,237,84,84,117480,560,2011-11-13,14.3,11,1,0
89,16,3,310,234,234,76,76,113564,560,2011-11-13,14.3,10,1,0
85,16,3,248,202,181,46,67,98770,560,2011-11-13,14.3,12,1,0
83,16,3,234,192,172,42,62,91881,560,2011-11-13,14.3,11,1,0
65,20,3,63,46,46,17,17,43680,1140,2011-10-27,14.3,5,1,0
75,23,3,62,46,46,16,16,67525,1771,2011-11-17,14.3,9,1,0
72,20,3,80,65,54,15,26,59640,1140,2011-10-27,14.3,3,1,0
64,20,3,59,45,45,14,14,41664,1140,2011-10-27,14.3,3,1,0
74,23,3,60,46,46,14,14,64824,1771,2011-11-17,14.3,9,1,0
73,20,3,83,70,59,13,24,62196,1140,2011-10-27,14.3,6,1,0
14,5,4,229,219,219,10,10,1001,5,2011-11-13,14.3,4,1,0
63,17,3,83,75,75,8,8,39711,680,2011-11-17,14.3,7,1,0
71,15,2,29,28,24,1,5,2485,105,2011-11-26,14.3,2,1,0
79,8,3,1748,1432,1432,316,316,79079,56,2011-12-14,14.2,14,1,0
67,8,3,1116,871,871,245,245,47905,56,2011-12-29,14.2,8,1,0
76,9,3,1106,879,879,227,227,70300,84,2011-12-29,14.2,19,1,0
71,8,3,1271,1065,1065,206,206,57155,56,2011-12-07,14.2,12,1,0
74,9,3,968,831,831,137,137,64824,84,2011-12-29,14.2,12,1,0
84,11,3,736,634,634,102,102,95284,165,2011-12-07,14.2,18,1,0
76,12,3,457,361,349,96,108,70300,220,2011-12-07,14.2,12,1,0
86,11,3,752,665,665,87,87,102340,165,2011-12-07,14.2,15,1,0
75,11,3,538,457,457,81,81,67525,165,2011-12-07,14.2,18,1,0
34,18,6,178,112,112,66,66,1344904,18564,2011-12-07,14.2,7,1,0
78,10,3,733,671,671,62,62,76076,120,2011-12-07,14.2,7,1,0
64,15,3,137,111,99,26,38,41664,455,2011-12-29,14.2,7,1,0
98,20,3,165,152,152,13,13,152096,1140,2011-12-29,14.2,7,1,0
92,11,2,87,84,84,3,3,4186,55,2011-12-01,14.2,4,1,0
67,20,2,15,14,14,1,1,2211,190,2011-12-29,14.2,3,1,0
74,15,4,1710,953,879,757,831,1150626,1365,2012-01-17,14.1,8,1,0
98,11,3,1168,954,954,214,214,152096,165,2012-01-17,14.1,19,1,0
97,11,3,1128,935,935,193,193,147440,165,2012-01-17,14.1,21,1,0
87,12,3,663,522,515,141,148,105995,220,2012-01-17,14.1,7,1,0
95,11,3,999,899,899,100,100,138415,165,2012-01-17,14.1,17,1,0
69,11,3,436,352,345,84,91,52394,165,2012-01-17,14.1,12,1,0
91,11,3,825,745,745,80,80,121485,165,2012-01-17,14.1,14,1,0
68,11,3,418,340,334,78,84,50116,165,2012-01-17,14.1,21,1,0
92,11,3,838,762,762,76,76,125580,165,2012-01-17,14.1,18,1,0
93,11,3,935,863,863,72,72,129766,165,2012-01-17,14.1,18,1,0
69,10,3,539,470,470,69,69,52394,120,2012-01-17,14.1,11,1,0
65,12,3,287,223,223,64,64,43680,220,2012-01-17,14.1,8,1,0
89,21,2,23,22,22,1,1,3916,210,2012-02-07,14.1,4,1,0
66,12,3,310,231,231,79,79,45760,220,2012-03-12,14.0,7,1,0
61,12,3,216,183,168,33,48,35990,220,2012-03-07,14.0,8,1,0
77,12,2,53,49,45,4,8,2926,66,2012-03-12,14.0,4,1,0
96,22,2,26,22,22,4,4,4560,231,2012-03-12,14.0,3,1,0
78,12,2,53,50,46,3,7,3003,66,2012-03-06,14.0,4,1,0
48,11,2,26,24,22,2,4,1128,55,2012-03-06,14.0,3,1,0
79,12,2,54,53,53,1,1,3081,66,2012-03-12,14.0,6,1,0
81,12,2,55,54,54,1,1,3240,66,2012-03-12,14.0,6,1,0
61,15,4,640,456,403,184,237,521855,1365,2012-03-30,13.9,6,1,0
85,11,3,744,650,650,94,94,98770,165,2012-05-29,13.8,17,1,0
71,10,3,555,497,497,58,58,57155,120,2012-05-29,13.8,9,1,0
72,10,3,562,512,512,50,50,59640,120,2012-05-29,13.8,11,1,0
61,14,4,1020,606,606,414,414,521855,1001,2012-07-11,13.6,5,1,0
71,22,4,273,162,152,111,121,971635,7315,2012-07-26,13.6,6,1,0
71,21,3,69,51,48,18,21,57155,1330,2012-08-09,13.6,7,1,0
70,21,3,66,50,47,16,19,54740,1330,2012-08-09,13.6,8,1,0
76,22,3,72,56,52,16,20,70300,1540,2012-08-09,13.6,8,1,0
74,22,3,66,51,48,15,18,64824,1540,2012-08-09,13.6,6,1,0
75,22,3,69,55,52,14,17,67525,1540,2012-08-09,13.6,8,1,0
67,21,3,58,45,45,13,13,47905,1330,2012-08-09,13.6,8,1,0
68,21,3,59,46,46,13,13,50116,1330,2012-08-09,13.6,6,1,0
72,22,3,59,46,46,13,13,59640,1540,2012-08-09,13.6,7,1,0
73,22,3,61,48,47,13,14,62196,1540,2012-08-09,13.6,6,1,0
69,21,3,60,48,46,12,14,52394,1330,2012-08-09,13.6,5,1,0
71,22,3,58,46,46,12,12,57155,1540,2012-08-09,13.6,10,1,0
69,22,3,54,44,41,10,13,52394,1540,2012-08-09,13.6,4,1,0
63,21,3,40,39,39,1,1,39711,1330,2012-08-09,13.6,6,1,0
72,21,3,75,55,52,20,23,59640,1330,2012-08-27,13.5,3,1,0
65,19,3,74,55,52,19,22,43680,969,2012-08-27,13.5,6,1,0
63,18,3,76,60,53,16,23,39711,816,2012-08-27,13.5,4,1,0
66,19,3,75,60,53,15,22,45760,969,2012-08-27,13.5,5,1,0
71,20,3,77,64,54,13,23,57155,1140,2012-08-27,13.5,5,1,0
45,13,2,17,15,14,2,3,990,78,2012-09-04,13.5,4,1,0
70,20,2,17,15,14,2,3,2415,190,2012-09-13,13.5,3,1,0
67,23,3,40,38,35,2,5,47905,1771,2012-08-20,13.5,9,1,0
46,13,2,17,16,15,1,2,1035,78,2012-09-01,13.5,4,1,0
62,21,3,40,39,39,1,1,37820,1330,2012-08-20,13.5,4,1,0
65,22,3,40,39,39,1,1,43680,1540,2012-08-20,13.5,6,1,0
66,22,3,40,39,39,1,1,45760,1540,2012-08-20,13.5,5,1,0
68,23,3,40,39,39,1,1,50116,1771,2012-08-20,13.5,7,1,0
42,17,6,1671,579,579,1092,1092,5245786,12376,2012-10-29,13.3,8,1,0
98,10,3,1676,1274,1274,402,402,152096,120,2012-11-22,13.3,12,1,0
88,9,3,1741,1389,1389,352,352,109736,84,2012-11-02,13.3,22,1,0
96,10,3,1563,1220,1220,343,343,142880,120,2012-11-22,13.3,14,1,0
86,9,3,1564,1224,1224,340,340,102340,84,2012-11-02,13.3,21,1,0
95,10,3,1521,1197,1197,324,324,138415,120,2012-11-22,13.3,13,1,0
82,8,3,1978,1661,1661,317,317,88560,56,2012-11-02,13.3,18,1,0
74,8,3,1473,1166,1166,307,307,64824,56,2012-11-05,13.3,15,1,0
73,8,3,1428,1132,1132,296,296,62196,56,2012-11-05,13.3,18,1,0
87,9,3,1631,1354,1354,277,277,105995,84,2012-11-02,13.3,21,1,0
94,10,3,1416,1166,1166,250,250,134044,120,2012-11-22,13.3,11,1,0
93,10,3,1390,1144,1144,246,246,129766,120,2012-11-22,13.3,11,1,0
84,9,3,1388,1167,1167,221,221,95284,84,2012-11-02,13.3,11,1,0
92,10,3,1341,1123,1123,218,218,125580,120,2012-11-28,13.3,13,1,0
90,10,3,1195,981,981,214,214,117480,120,2012-11-22,13.3,14,1,0
72,8,3,1294,1098,1098,196,196,59640,56,2012-11-05,13.3,12,1,0
89,10,3,1155,962,962,193,193,113564,120,2012-11-02,13.3,10,1,0
91,10,3,1249,1092,1092,157,157,121485,120,2012-11-22,13.3,12,1,0
88,10,3,1078,942,942,136,136,109736,120,2012-11-22,13.3,7,1,0
98,15,3,501,366,366,135,135,152096,455,2012-11-02,13.3,12,1,0
99,15,3,503,370,370,133,133,156849,455,2012-11-02,13.3,6,1,0
86,10,3,971,895,895,76,76,102340,120,2012-11-02,13.3,10,1,0
91,8,2,158,148,148,10,10,4095,28,2012-11-22,13.3,5,1,0
97,7,2,229,222,222,7,7,4656,21,2012-11-02,13.3,6,1,0
84,6,2,243,238,238,5,5,3486,15,2012-11-02,13.3,3,1,0
98,7,2,242,238,238,4,4,4753,21,2012-11-02,13.3,4,1,0
80,6,2,216,214,214,2,2,3160,15,2012-11-02,13.3,3,1,0
81,6,2,218,216,216,2,2,3240,15,2012-11-02,13.3,3,1,0
86,8,2,141,140,140,1,1,3655,28,2012-11-22,13.3,3,1,0
87,8,2,143,142,142,1,1,3741,28,2012-11-22,13.3,3,1,0
71,14,4,2000,1121,1121,879,879,971635,1001,2012-12-07,13.2,11,1,0
69,14,4,1786,981,878,805,908,864501,1001,2012-12-07,13.2,5,1,0
68,14,4,1703,928,831,775,872,814385,1001,2012-12-07,13.2,7,1,0
64,14,4,1301,691,691,610,610,635376,1001,2012-12-07,13.2,6,1,0
65,14,4,1360,780,734,580,626,677040,1001,2012-12-07,13.2,11,1,0
66,14,4,1404,825,755,579,649,720720,1001,2012-12-07,13.2,9,1,0
63,14,4,1197,666,666,531,531,595665,1001,2012-12-07,13.2,9,1,0
99,10,3,1768,1406,1406,362,362,156849,120,2012-12-13,13.2,16,1,0
97,10,3,1589,1242,1242,347,347,147440,120,2012-12-13,13.2,17,1,0
62,11,3,331,254,243,77,88,37820,165,2012-12-07,13.2,11,1,0
35,20,6,119,70,48,49,71,1623160,38760,2012-12-13,13.2,4,1,0
61,24,4,110,74,61,36,49,521855,10626,2013-02-20,13.0,4,1,0
65,8,3,1017,821,821,196,196,43680,56,2013-03-28,12.9,8,1,0
92,15,3,413,307,283,106,130,125580,455,2013-03-24,12.9,9,1,0
70,9,3,779,677,677,102,102,54740,84,2013-03-28,12.9,7,1,0
93,15,3,418,317,286,101,132,129766,455,2013-03-24,12.9,10,1,0
87,15,3,348,250,250,98,98,105995,455,2013-03-24,12.9,8,1,0
91,15,3,393,298,273,95,120,121485,455,2013-03-24,12.9,9,1,0
93,16,3,342,250,250,92,92,129766,560,2013-03-24,12.9,9,1,0
94,16,3,344,259,259,85,85,134044,560,2013-03-24,12.9,3,1,0
90,15,3,371,288,270,83,101,117480,455,2013-03-24,12.9,6,1,0
89,15,3,359,279,262,80,97,113564,455,2013-03-24,12.9,6,1,0
88,15,3,352,276,259,76,93,109736,455,2013-03-24,12.9,10,1,0
95,16,3,347,280,262,67,85,138415,560,2013-03-24,12.9,3,1,0
98,10,2,119,108,108,11,11,4753,45,2013-03-28,12.9,4,1,0
70,6,2,172,164,164,8,8,2415,15,2013-03-28,12.9,3,1,0
66,7,2,110,104,104,6,6,2145,21,2013-03-28,12.9,2,1,0
87,9,2,113,107,107,6,6,3741,36,2013-03-28,12.9,4,1,0
67,9,3,623,618,618,5,5,47905,84,2013-03-28,12.9,7,1,0
26,11,6,1217,603,603,614,614,230230,462,2013-05-01,12.8,20,1,0
34,16,6,517,241,217,276,300,1344904,8008,2013-06-27,12.7,4,1,0
35,17,6,378,186,186,192,192,1623160,12376,2013-06-20,12.7,7,1,0
76,15,4,1906,1090,1090,816,816,1282975,1365,2013-08-06,12.6,11,1,0
71,15,4,1351,829,758,522,593,971635,1365,2013-08-06,12.6,6,1,0
65,15,4,831,598,598,233,233,677040,1365,2013-08-06,12.6,8,1,0
75,9,3,1056,850,850,206,206,67525,84,2013-07-12,12.6,10,1,0
68,13,3,251,199,178,52,73,50116,286,2013-08-06,12.6,9,1,0
63,13,3,180,151,151,29,29,39711,286,2013-08-06,12.6,5,1,0
62,13,3,175,148,148,27,27,37820,286,2013-08-06,12.6,8,1,0
68,18,4,555,314,314,241,241,814385,3060,2013-09-05,12.5,8,1,0
67,18,4,516,306,306,210,210,766480,3060,2013-09-05,12.5,16,1,0
65,18,4,453,275,275,178,178,677040,3060,2013-09-05,12.5,11,1,0
64,18,4,421,267,267,154,154,635376,3060,2013-09-05,12.5,5,1,0
63,18,4,376,245,207,131,169,595665,3060,2013-09-05,12.5,9,1,0
62,18,4,342,238,186,104,156,557845,3060,2013-09-05,12.5,5,1,0
61,18,4,313,217,180,96,133,521855,3060,2013-09-05,12.5,6,1,0
62,14,3,149,120,107,29,42,37820,364,2013-09-05,12.5,2,1,0
66,14,3,171,142,142,29,29,45760,364,2013-09-05,12.5,6,1,0
65,14,3,167,140,140,27,27,43680,364,2013-09-05,12.5,5,1,0
68,14,3,178,151,151,27,27,50116,364,2013-09-05,12.5,7,1,0
64,14,3,164,138,138,26,26,41664,364,2013-09-05,12.5,4,1,0
61,14,3,141,118,105,23,36,35990,364,2013-09-05,12.5,4,1,0
62,17,3,82,70,59,12,23,37820,680,2013-09-05,12.5,12,1,0
30,18,8,536,225,212,311,324,5852925,43758,2013-10-23,12.4,7,1,0
26,17,7,125,59,49,66,76,657800,19448,2013-10-23,12.4,3,1,0
40,23,6,124,68,47,56,77,3838380,100947,2013-10-17,12.4,8,1,0
26,18,8,132,76,57,56,75,1562275,43758,2013-10-23,12.4,5,1,0
41,24,6,109,64,47,45,62,4496388,134596,2013-10-17,12.4,6,1,0
82,24,3,72,52,52,20,20,88560,2024,2013-09-26,12.4,6,1,0
77,24,3,56,45,45,11,11,73150,2024,2013-09-26,12.4,6,1,0
59,13,2,28,26,23,2,5,1711,78,2013-10-07,12.4,4,1,0
57,17,2,16,14,14,2,2,1596,136,2013-10-07,12.4,3,1,0
58,17,2,16,14,14,2,2,1653,136,2013-10-04,12.4,4,1,0
60,13,2,28,27,24,1,4,1770,78,2013-09-25,12.4,3,1,0
85,23,2,19,18,15,1,4,3570,253,2013-09-21,12.4,3,1,0
86,23,2,19,18,15,1,4,3655,253,2013-10-07,12.4,3,1,0
35,16,6,628,294,239,334,389,1623160,8008,2013-10-25,12.3,4,1,0
80,17,4,1504,744,744,760,760,1581580,2380,2013-12-23,12.2,15,1,0
79,17,4,1413,707,707,706,706,1502501,2380,2013-12-23,12.2,11,1,0
78,17,4,1304,689,689,615,615,1426425,2380,2013-12-23,12.2,10,1,0
77,17,4,1235,648,648,587,587,1353275,2380,2013-12-23,12.2,16,1,0
76,17,4,1163,631,631,532,532,1282975,2380,2013-12-23,12.2,9,1,0
75,17,4,1083,614,614,469,469,1215450,2380,2013-12-23,12.2,9,1,0
74,17,4,1015,579,579,436,436,1150626,2380,2013-12-23,12.2,8,1,0
73,17,4,924,542,464,382,460,1088430,2380,2013-12-23,12.2,5,1,0
72,17,4,854,509,454,345,400,1028790,2380,2013-12-23,12.2,11,1,0
71,17,4,827,497,422,330,405,971635,2380,2013-12-23,12.2,7,1,0
70,17,4,759,466,412,293,347,916895,2380,2013-12-23,12.2,8,1,0
65,17,4,585,322,322,263,263,677040,2380,2013-12-23,12.2,3,1,0
64,17,4,570,313,313,257,257,635376,2380,2013-12-23,12.2,3,1,0
68,17,4,657,404,372,253,285,814385,2380,2013-12-23,12.2,8,1,0
67,17,4,623,375,359,248,264,766480,2380,2013-12-23,12.2,4,1,0
66,17,4,594,350,350,244,244,720720,2380,2013-12-23,12.2,4,1,0
69,17,4,668,435,398,233,270,864501,2380,2013-12-23,12.2,10,1,0
62,17,4,511,281,281,230,230,557845,2380,2013-12-23,12.2,16,1,0
63,17,4,533,304,304,229,229,595665,2380,2013-12-23,12.2,11,1,0
61,17,4,470,270,270,200,200,521855,2380,2013-12-23,12.2,16,1,0
78,16,3,181,152,152,29,29,76076,560,2013-12-09,12.2,9,1,0
71,19,4,560,307,307,253,253,971635,3876,2014-07-04,11.7,9,1,0
70,19,4,530,284,284,246,246,916895,3876,2014-07-04,11.7,15,1,0
69,19,4,487,276,276,211,211,864501,3876,2014-07-04,11.7,14,1,0
68,19,4,464,269,269,195,195,814385,3876,2014-07-04,11.7,18,1,0
67,19,4,424,247,209,177,215,766480,3876,2014-07-04,11.7,18,1,0
69,20,4,379,225,187,154,192,864501,4845,2014-07-04,11.7,15,1,0
66,19,4,391,240,202,151,189,720720,3876,2014-07-04,11.7,13,1,0
65,19,4,365,220,185,145,180,677040,3876,2014-07-04,11.7,13,1,0
64,19,4,341,203,179,138,162,635376,3876,2014-07-04,11.7,15,1,0
63,19,4,311,186,173,125,138,595665,3876,2014-07-04,11.7,15,1,0
62,19,4,291,180,167,111,124,557845,3876,2014-07-04,11.7,12,1,0
61,19,4,258,161,151,97,107,521855,3876,2014-07-04,11.7,10,1,0
23,15,8,202,126,96,76,106,490314,6435,2014-06-21,11.7,22,1,0
21,14,8,193,119,86,74,107,203490,3003,2014-06-21,11.7,14,1,0
35,21,6,87,57,40,30,47,1623160,54264,2014-07-07,11.6,4,1,0
36,18,6,267,154,140,113,127,1947792,18564,2014-09-07,11.5,10,1,0
29,19,6,60,37,29,23,31,475020,27132,2014-08-13,11.5,4,1,0
27,18,6,39,30,26,9,13,296010,18564,2014-08-26,11.5,4,1,0
28,19,6,39,30,26,9,13,376740,27132,2014-08-26,11.5,5,1,0
84,22,4,591,317,317,274,274,1929501,7315,2014-10-06,11.4,10,1,0
86,22,4,607,333,333,274,274,2123555,7315,2014-10-06,11.4,12,1,0
85,22,4,598,325,325,273,273,2024785,7315,2014-10-06,11.4,10,1,0
87,22,4,615,360,360,255,255,2225895,7315,2014-10-06,11.4,19,1,0
88,22,4,619,368,368,251,251,2331890,7315,2014-10-06,11.4,12,1,0
61,24,5,396,201,168,195,228,5949147,42504,2014-09-28,11.4,8,1,0
67,22,4,214,131,125,83,89,766480,7315,2014-10-04,11.4,8,1,0
77,22,3,77,60,53,17,24,73150,1540,2014-10-06,11.4,8,1,0
81,23,3,77,60,53,17,24,85320,1771,2014-10-06,11.4,9,1,0
78,22,3,77,61,54,16,23,76076,1540,2014-10-01,11.4,6,1,0
82,23,3,77,61,54,16,23,88560,1771,2014-10-06,11.4,10,1,0
61,18,3,68,55,51,13,17,35990,816,2014-10-19,11.4,3,1,0
83,23,3,77,65,55,12,22,91881,1771,2014-10-05,11.4,9,1,0
61,17,3,77,69,54,8,23,35990,680,2014-10-05,11.4,12,1,0
57,9,2,51,47,45,4,6,1596,36,2014-10-02,11.4,3,1,0
70,11,2,52,48,45,4,7,2415,55,2014-10-01,11.4,10,1,0
71,11,2,52,49,46,3,6,2485,55,2014-09-29,11.4,9,1,0
91,11,2,80,77,75,3,5,4095,55,2014-10-01,11.4,5,1,0
82,13,2,51,48,45,3,6,3321,78,2014-09-29,11.4,6,1,0
83,13,2,52,49,45,3,7,3403,78,2014-10-01,11.4,7,1,0
84,13,2,52,49,46,3,6,3486,78,2014-09-29,11.4,6,1,0
93,11,2,88,86,85,2,3,4278,55,2014-10-01,11.4,5,1,0
69,13,2,37,35,32,2,5,2346,78,2014-09-29,11.4,7,1,0
71,13,2,39,37,33,2,6,2485,78,2014-09-30,11.4,6,1,0
72,13,2,39,37,34,2,5,2556,78,2014-09-30,11.4,7,1,0
53,11,2,30,29,29,1,1,1378,55,2014-10-20,11.4,5,1,0
74,11,2,55,54,54,1,1,2701,55,2014-09-28,11.4,8,1,0
73,13,2,39,38,34,1,5,2628,78,2014-09-28,11.4,6,1,0
80,17,2,29,28,24,1,5,3160,136,2014-10-01,11.4,6,1,0
81,17,2,29,28,24,1,5,3240,136,2014-09-29,11.4,4,1,0
76,23,2,15,14,14,1,1,2850,253,2014-10-06,11.4,5,1,0
77,23,2,15,14,14,1,1,2926,253,2014-10-06,11.4,6,1,0
90,22,4,728,401,385,327,343,2555190,7315,2014-11-05,11.3,8,1,0
97,23,4,781,464,426,317,355,3464840,8855,2014-11-05,11.3,12,1,0
99,23,4,817,500,461,317,356,3764376,8855,2014-11-05,11.3,18,1,0
89,22,4,688,377,377,311,311,2441626,7315,2014-11-05,11.3,20,1,0
98,23,4,787,490,435,297,352,3612280,8855,2014-11-05,11.3,14,1,0
64,15,4,809,559,559,250,250,635376,1365,2014-11-11,11.3,9,1,0
78,21,4,510,286,286,224,224,1426425,5985,2014-11-05,11.3,6,1,0
75,21,4,417,254,215,163,202,1215450,5985,2014-11-11,11.3,5,1,0
70,20,4,393,242,207,151,186,916895,4845,2014-11-05,11.3,13,1,0
72,21,4,337,220,186,117,151,1028790,5985,2014-11-05,11.3,5,1,0
83,19,3,147,114,101,33,46,91881,969,2014-11-05,11.3,9,1,0
84,19,3,152,120,107,32,45,95284,969,2014-11-05,11.3,7,1,0
85,19,3,153,121,108,32,45,98770,969,2014-11-05,11.3,13,1,0
98,22,3,148,116,107,32,41,152096,1540,2014-11-05,11.3,11,1,0
66,15,3,150,119,106,31,44,45760,455,2014-11-11,11.3,6,1,0
82,19,3,138,108,100,30,38,88560,969,2014-11-05,11.3,10,1,0
98,23,3,128,98,98,30,30,152096,1771,2014-11-05,11.3,5,1,0
97,23,3,123,94,93,29,30,147440,1771,2014-11-05,11.3,11,1,0
76,18,3,126,98,98,28,28,70300,816,2014-11-05,11.3,4,1,0
80,19,3,125,97,93,28,32,82160,969,2014-11-05,11.3,7,1,0
89,20,3,149,121,107,28,42,113564,1140,2014-11-05,11.3,12,1,0
99,23,3,132,104,99,28,33,156849,1771,2014-11-05,11.3,6,1,0
63,14,3,158,131,131,27,27,39711,364,2014-11-11,11.3,6,1,0
67,15,3,153,126,108,27,45,47905,455,2014-11-11,11.3,8,1,0
86,19,3,154,127,109,27,45,102340,969,2014-11-05,11.3,12,1,0
87,19,3,156,129,110,27,46,105995,969,2014-11-05,11.3,10,1,0
90,20,3,153,126,108,27,45,117480,1140,2014-11-05,11.3,11,1,0
92,20,3,156,129,111,27,45,125580,1140,2014-11-05,11.3,5,1,0
94,21,3,148,121,108,27,40,134044,1330,2014-11-05,11.3,5,1,0
95,21,3,154,127,109,27,45,138415,1330,2014-11-05,11.3,6,1,0
96,21,3,155,128,110,27,45,142880,1330,2014-11-05,11.3,6,1,0
94,22,3,126,99,99,27,27,134044,1540,2014-11-05,11.3,5,1,0
69,15,3,164,138,138,26,26,52394,455,2014-11-11,11.3,3,1,0
75,18,3,122,96,92,26,30,67525,816,2014-11-05,11.3,6,1,0
81,19,3,129,103,99,26,30,85320,969,2014-11-05,11.3,8,1,0
91,20,3,154,128,110,26,44,121485,1140,2014-11-05,11.3,5,1,0
97,21,3,156,130,111,26,45,147440,1330,2014-11-05,11.3,8,1,0
92,22,3,118,92,92,26,26,125580,1540,2014-11-05,11.3,8,1,0
93,22,3,124,98,93,26,31,129766,1540,2014-11-05,11.3,4,1,0
96,22,3,136,110,101,26,35,142880,1540,2014-11-05,11.3,8,1,0
97,22,3,141,115,102,26,39,147440,1540,2014-11-05,11.3,8,1,0
87,20,3,134,109,101,25,33,105995,1140,2014-11-05,11.3,9,1,0
91,22,3,116,91,91,25,25,121485,1540,2014-11-05,11.3,6,1,0
68,15,3,156,132,132,24,24,50116,455,2014-11-11,11.3,5,1,0
88,19,3,159,135,135,24,24,109736,969,2014-11-05,11.3,12,1,0
88,20,3,139,115,102,24,37,109736,1140,2014-11-05,11.3,6,1,0
92,21,3,134,110,101,24,33,125580,1330,2014-11-05,11.3,4,1,0
96,23,3,117,93,92,24,25,142880,1771,2014-11-05,11.3,12,1,0
85,20,3,121,98,98,23,23,98770,1140,2014-11-05,11.3,11,1,0
93,21,3,139,116,102,23,37,129766,1330,2014-11-05,11.3,3,1,0
86,20,3,125,104,99,21,26,102340,1140,2014-11-05,11.3,9,1,0
88,21,3,114,93,93,21,21,109736,1330,2014-11-05,11.3,5,1,0
73,21,3,76,56,53,20,23,62196,1330,2014-11-05,11.3,6,1,0
